,latitude,longitude,geometry
399,30.402252,-97.748795,POINT (-97.748795 30.402252)
400,37.486368,-122.230116,POINT (-122.230116 37.486368)
401,37.78624,-122.39897,POINT (-122.39897 37.78624)
402,52.373812,4.890951,POINT (4.890951 52.373812)
403,42.524527,-71.137784,POINT (-71.137784 42.524527)
404,41.1010914,-73.4168779,POINT (-73.4168779 41.1010914)
405,32.939673,-117.240799,POINT (-117.240799 32.939673)
406,38.888107,-77.091562,POINT (-77.091562 38.888107)
407,37.09024,-95.712891,POINT (-95.712891 37.09024)
408,37.870258,-122.272513,POINT (-122.272513 37.870258)
409,40.694731,-73.983268,POINT (-73.983268 40.694731)
410,30.268236,-97.740651,POINT (-97.740651 30.268236)
411,22.396428,114.109497,POINT (114.109497 22.396428)
413,37.496737,-122.245323,POINT (-122.245323 37.496737)
414,40.762673,-73.969296,POINT (-73.969296 40.762673)
416,47.600818,-122.334117,POINT (-122.334117 47.600818)
417,37.3208403,-121.9479223,POINT (-121.9479223 37.3208403)
418,37.402802,-122.117418,POINT (-122.117418 37.402802)
421,25.752358,-80.25468,POINT (-80.25467999999999 25.752358)
422,37.09024,-95.712891,POINT (-95.712891 37.09024)
423,37.09024,-95.712891,POINT (-95.712891 37.09024)
424,37.392443,-122.072517,POINT (-122.072517 37.392443)
425,37.323739,-122.014147,POINT (-122.014147 37.323739)
426,37.385225,-121.991912,POINT (-121.991912 37.385225)
428,38.92719,-77.216969,POINT (-77.21696900000001 38.92719)
429,37.09024,-95.712891,POINT (-95.712891 37.09024)
430,37.775196,-122.419204,POINT (-122.419204 37.775196)
431,47.6399006,-122.1914274,POINT (-122.1914274 47.6399006)
432,37.856743,-122.480153,POINT (-122.480153 37.856743)
433,37.400821,-122.131383,POINT (-122.131383 37.400821)
435,37.553743,-122.300246,POINT (-122.300246 37.553743)
436,37.795191,-122.430411,POINT (-122.430411 37.795191)
437,37.798853,-122.398599,POINT (-122.398599 37.798853)
438,40.75362,-73.986557,POINT (-73.986557 40.75362)
440,34.047312,-118.445243,POINT (-118.445243 34.047312)
443,30.390071,-97.711652,POINT (-97.711652 30.390071)
444,37.765158,-122.404234,POINT (-122.404234 37.765158)
446,51.7319786,-1.2063327,POINT (-1.2063327 51.7319786)
448,58.415755,15.625419,POINT (15.625419 58.415755)
451,53.555554,9.98793,POINT (9.98793 53.555554)
452,37.52845,-122.263721,POINT (-122.263721 37.52845)
453,37.766909,-122.406676,POINT (-122.406676 37.766909)
